Programa de financiación;Título;Ce.gestor;Funcional;Económico;Fondo;Impte.mon.ent.CP;LI;Descripción Línea de Inversión;SL;Descripción Sublínea de Inversión;Distrito;Descripción
2023/000076;DESARROLLO NUEVAS FUNCIONALIDADES SISTEMA INFORMÁTICO PARA GESTIÓN DE PROTECCIÓN DE DATOS;001111;92013;64100;;300.000,00;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;00;ATENCIÓN AL CIUDADANO;998;VARIOS DISTRITOS
2021/000399;PARQUE DE BOMBEROS Nº 5. OBRAS DE REFORMA INTEGRAL;001120;13000;63200;;4.498.535,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;212;USERA
2021/000402;PARQUE DE BOMBEROS Nº 1. OBRAS DE REFORMA Y ADECUACIÓN;001120;13000;63200;;800.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;207;CHAMBERI
2021/000406;EDIFICIO POLICÍA MUNICIPAL C/ PLOMO, 14. OBRAS DE REHABILITACIÓN PARCIAL;001120;13000;63200;;2.750.215,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;202;ARGANZUELA
2022/000416;CENTRO INTEGRADO DE SEGURIDAD Y EMERGENCIAS (CISEM). OBRAS DE REFORMA;001120;13000;63200;;428.799,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;204;SALAMANCA
2022/000418;BASE 0 SAMUR-PROTECCIÓN CIVIL. OBRAS DE REFORMA;001120;13000;63200;;2.653.195,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;209;MONCLOA-ARAVACA
2022/000419;CENTRO INTEGRADO DE FORMACIÓN SEGURIDAD Y EMERGENCIAS. OBRAS DE REFORMA;001120;13000;63200;;633.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;210;LATINA
2022/000423;UNIDAD INTEGRAL POLICÍA MUNICIPAL TETUÁN. OBRAS REFORMA AISLAMIENTO FACHADA;001120;13000;63200;;317.036,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;206;TETUAN
2022/000425;PARQUE 9 BOMBEROS. OBRAS PARA INSTALACIÓN DE CAMPA PROVISIONAL;001120;13000;63200;;900.290,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;208;FUENCARRAL-EL PARDO
2022/001496;UNIDAD INTEGRAL POLICÍA CHAMBERÍ. SUBSANACIÓN DEFICIENCIAS INSPECCIÓN TÉCNICA EDIFICIOS;001120;13000;63200;;164.642,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;207;CHAMBERI
2023/000384;ESCUADRÓN DE LA POLICÍA MUNICIPAL. OBRAS REFORMA DE LA CANTINA;001120;13000;63200;;1.273.982,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;209;MONCLOA-ARAVACA
2023/000385;PARQUE DE BOMBEROS 9. OBRAS DE REHABILITACIÓN;001120;13000;63200;;1.300.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;208;FUENCARRAL-EL PARDO
2023/000386;BASE SAMUR - PROTECCIÓN CIVIL C/ LA VID. OBRAS DE REFORMA APARCAMIENTO;001120;13000;63200;;385.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;209;MONCLOA-ARAVACA
2023/000387;UNIDAD INTEGRAL POLICÍA MUNICIPAL USERA. OBRAS DE REHABILITACIÓN;001120;13000;63200;;737.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;212;USERA
2023/000007;CENTRO INTEGRADO DE FORMACIÓN DE SEGURIDAD Y EMERGENCIAS. INSTALACIONES TÉCNICAS;001120;13001;62301;;326.300,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2023/000013;CENTRO INTEGRADO DE FORMACIÓN DE SEGURIDAD Y EMERGENCIAS. EQUIPOS PARA PROCESO DE DATOS;001120;13001;62601;;36.300,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2023/000014;CENTRO INTEGRADO DE FORMACIÓN DE SEGURIDAD Y EMERGENCIAS. MOBILIARIO Y EQUIPOS DE OFICINA;001120;13001;63500;;6.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2023/000015;CENTRO INTEGRADO DE FORMACIÓN DE SEGURIDAD Y EMERGENCIAS. EQUIPOS DE COMUNICACIÓN;001120;13001;63600;;50.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2023/000018;CENTRO INTEGRADO DE FORMACIÓN DE SEGURIDAD Y EMERGENCIAS. APLICACIONES INFORMATICAS;001120;13001;64100;;5.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2023/000001;EQUIPAMIENTO AUDIOVISUAL PARA LOS SERVICIOS DE POLICÍA MUNICIPAL;001120;13201;62999;;118.746,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2023/000002;EDIFICIO POLICÍA MUNICIPAL AVENIDA PRINCIPAL, 6. OBRAS ACONDICIONAMIENTO SALÓN DE ACTOS;001120;13201;63200;;237.625,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;209;MONCLOA-ARAVACA
2023/000364;EDIFICIO ALMACÉN VESTUARIO POLICÍA MUNICIPAL C/ OLIMPO, 35. CLIMATIZACIÓN SALA VIGILANCIA;001120;13201;62301;;3.630,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;216;HORTALEZA
2023/000365;UNIDADES INTEGRALES POLICÍA MUNICIPAL. TAQUILLAS;001120;13201;62500;;1.290.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2023/000366;EDIFICIO POLICÍA MUNICIPAL AV. PRINCIPAL, 6. BUTACAS SALÓN DE ACTOS;001120;13201;62599;;97.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;209;MONCLOA-ARAVACA
2023/000367;SERVICIOS POLICÍA MUNICIPAL. EQUIPOS DE SEGURIDAD COMUNICACIONES DE FUNCIONALIDAD TIPO FIREWALL;001120;13201;62601;;275.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2023/000368;ADQUISICIÓN DE SEMOVIENTES PARA LOS SERVICIOS DE POLICÍA MUNICIPAL;001120;13201;62902;;36.300,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2023/000369;ADQUISICIÓN ACCESORIOS TETRA PARA LOS SERVICIOS DE POLICÍA MUNICIPAL;001120;13201;62999;;148.500,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2023/000370;CÁMARAS VIDEOVIGILANCIA POLICÍA MUNICIPAL EN PLAZA ELÍPTICA. INSTALACIÓN;001120;13201;62999;;911.043,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2023/000372;CÁMARAS VIDEOVIGILANCIA POLICÍA MUNICIPAL EN PLAZA DOS DE MAYO. INSTALACIÓN;001120;13201;62999;;600.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;201;CENTRO
2023/000373;UNIDAD INTEGRAL POLICÍA MUNICIPAL DE RETIRO. ACONDICIONAMIENTO PARA INSTALACIÓN DE SEÑALÉTICA;001120;13201;63200;;50.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;203;RETIRO
2023/000374;CENTRO INTEGRADO DE SEGURIDAD Y EMERGENCIAS. MOBILIARIO SERVICIOS POLICÍA MUNICIPAL;001120;13201;62500;;137.400,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2023/000375;APLICACIONES INFORMÁTICAS PARA LOS SERVICIOS DE POLICÍA MUNICIPAL;001120;13201;64100;;43.150,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2020/000470;SERVICIOS SAMUR. SISTEMA DE GESTIÓN Y TRATAMIENTO DE EMERGENCIAS. ADQUISICIÓN;001120;13510;64100;;111.345,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;998;VARIOS DISTRITOS
2023/000008;SERVICIOS SAMUR - PROTECCIÓN CIVIL. APARATOS DE ELECTROMEDICINA;001120;13510;62300;;350.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;998;VARIOS DISTRITOS
2023/000009;SISTEMA DE VIDEOVIGILANCIA BASES OPERATIVAS SAMUR - PROTECCIÓN CIVIL;001120;13510;62301;;250.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;998;VARIOS DISTRITOS
2023/000010;BASES DEL SAMUR-PROTECCIÓN CIVIL. OTRO MOBILIARIO Y ENSERES;001120;13510;62599;;166.228,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;998;VARIOS DISTRITOS
2023/000011;EQUIPOS DE COMUNICACIÓN PARA LOS SERVICIOS DE SAMUR - PROTECCIÓN CIVIL;001120;13510;62600;;18.150,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;998;VARIOS DISTRITOS
2023/000343;VEHÍCULOS SAMUR - PROTECCIÓN CIVIL;001120;13510;62400;;600.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;998;VARIOS DISTRITOS
2023/000345;LICENCIAS APLICACIONES INFORMÁTICAS PARA SERVICIOS SAMUR - PROTECCIÓN CIVIL;001120;13510;64100;;105.600,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;998;VARIOS DISTRITOS
2023/000346;MODIFICACIÓN DE VEHÍCULOS DEL SERVICIO SAMUR - PROTECCIÓN CIVIL;001120;13510;63400;;150.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;998;VARIOS DISTRITOS
2017/000107;APLICACIÓN INFORMÁTICA PARA LOS SERVICIOS DE BOMBEROS;001120;13610;64100;;155.114,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2020/000469;SERVICIOS DE BOMBEROS. SISTEMA DE GESTIÓN Y TRATAMIENTO DE EMERGENCIAS. ADQUISICIÓN;001120;13610;64100;;282.165,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2023/000016;EQUIPAMIENTO SERVICIOS DE BOMBEROS;001120;13610;62300;;100.250,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2023/000016;EQUIPAMIENTO SERVICIOS DE BOMBEROS;001120;13610;62302;;212.100,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2023/000016;EQUIPAMIENTO SERVICIOS DE BOMBEROS;001120;13610;63300;;39.750,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2023/000016;EQUIPAMIENTO SERVICIOS DE BOMBEROS;001120;13610;63302;;39.750,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2023/000020;EQUIPAMIENTO GIMNASIOS DE BOMBEROS;001120;13610;62599;;394.500,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2023/000024;CONTENEDORES DE MANIOBRAS PARA LOS SERVICIOS DE BOMBEROS;001120;13610;62999;;514.250,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2023/000075;CENTRO INTEGRADO DE SEGURIDAD Y EMERGENCIAS (CISEM). MOBILIARIO SALA DE CRISIS;001120;13610;62599;;150.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2023/000347;ANCLAJES TORRES Y ROCÓDROMOS PARA LOS SERVICIOS DE BOMBEROS;001120;13610;62999;;290.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2023/000348;VEHÍCULOS PARA LOS SERVICIOS DE BOMBEROS;001120;13610;62400;;750.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2023/000349;REPOSICION DE MOBILIARIO PARA LOS SERVICIOS DE BOMBEROS;001120;13610;63599;;100.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2023/000049;SERVICIOS COMUNICACIÓN ÁREA DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS. INSTALACIONES TÉCNICAS;001120;92202;62301;;1.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000050;SERVICIOS COMUNICACIÓN ÁREA DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS. ÚTILES Y HERRAMIENTAS;001120;92202;62302;;5.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000051;EQUIPAMIENTO SERVICIOS COMUNICACIÓN ÁREA DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;001120;92202;62599;;1.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000051;EQUIPAMIENTO SERVICIOS COMUNICACIÓN ÁREA DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;001120;92202;62500;;7.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000051;EQUIPAMIENTO SERVICIOS COMUNICACIÓN ÁREA DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;001120;92202;62600;;2.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000052;SERVICIOS COMUNICACIÓN ÁREA DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS. EQUIPOS PROCESO DE DATOS;001120;92202;62601;;1.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000192;SERVICIOS ÁREA DE GOBIERNO DE CULTURA, TURISMO Y DEPORTE. INSTALACIONES TÉCNICAS;001130;33000;62301;;8.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000193;EQUIPAMIENTO MOBILIARIO Y ENSERES SERVICIOS ÁREA DE GOBIERNO DE CULTURA, TURISMO Y DEPORTE;001130;33000;62500;;10.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000193;EQUIPAMIENTO MOBILIARIO Y ENSERES SERVICIOS ÁREA DE GOBIERNO DE CULTURA, TURISMO Y DEPORTE;001130;33000;62599;;6.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000194;SEÑALIZACIÓN SERVICIOS ÁREA DE GOBIERNO DE CULTURA, TURISMO Y DEPORTE;001130;33000;62901;;6.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000168;UNIDAD TÉCNICA DE BIBLIOTECAS PÚBLICAS. ADQUISICIÓN DE LIBROS;001130;33210;62999;;1.198.000,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;998;VARIOS DISTRITOS
2023/000187;BIBLIOTECAS PÚBLICAS. ADQUISICIÓN DE MOBILIARIO Y ENSERES;001130;33210;63599;;40.000,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;998;VARIOS DISTRITOS
2023/000188;UNIDAD TÉCNICA DE BIBLIOTECAS PÚBLICAS. ADQUISICIÓN DE MATERIAL AUDIOVISUAL Y MULTIMEDIA;001130;33210;62999;;30.000,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;998;VARIOS DISTRITOS
2023/000189;SEÑALÉTICA EN LA RED DE BIBLIOTECAS PÚBLICAS;001130;33210;62901;;50.000,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;998;VARIOS DISTRITOS
2023/000342;BIBLIOTECA MUSICAL VÍCTOR ESPINÓS. ADQUISICIÓN  DE INSTRUMENTOS MUSICALES;001130;33210;62999;;14.000,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;201;CENTRO
2023/000344;BIBLIOTECAS PÚBLICAS MUNICIPALES. INSTALACIÓN BUCLES MAGNÉTICOS PARA DISCAPACIDAD AUDITIVA;001130;33210;63600;;18.000,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;998;VARIOS DISTRITOS
2023/000190;ARCHIVO DE VILLA. ADQUISICIÓN DE ESCANER;001130;33220;62601;;80.000,00;10;CULTURA;01;ARCHIVOS Y PATRIMONIO DOCUMENTAL;201;CENTRO
2023/000341;ARCHIVO DE VILLA. REPOSICIÓN DE ESTANTERÍAS COMPACTAS;001130;33220;63599;;83.000,00;10;CULTURA;01;ARCHIVOS Y PATRIMONIO DOCUMENTAL;201;CENTRO
2021/000486;OBRAS DE ARTE PARA LOS MUSEOS DE LA CIUDAD (ACUERDOS DE LA VILLA);001130;33301;62900;;150.000,00;10;CULTURA;02;MUSEOS Y COLECCIONES;998;VARIOS DISTRITOS
2022/000147;PLANETARIO DE MADRID. RENOVACIÓN DE BUTACAS;001130;33301;63599;;125.000,00;10;CULTURA;02;MUSEOS Y COLECCIONES;202;ARGANZUELA
2022/000149;TEMPLO DE DEBOD. RENOVACIÓN MUSEOGRAFÍA PERMANENTE;001130;33301;63999;;50.000,00;10;CULTURA;02;MUSEOS Y COLECCIONES;209;MONCLOA-ARAVACA
2022/000152;MUSEO HISTORIA DE MADRID. REINSTALACION MUSEOGRÁFICA MAQUETA DE MADRID DE 1830;001130;33301;63999;;50.000,00;10;CULTURA;02;MUSEOS Y COLECCIONES;201;CENTRO
2022/000489;PALACIO DE LOS DUQUES DE OSUNA EN EL PARQUE DEL CAPRICHO. DESARROLLO MUSEOGRÁFICO;001130;33301;62900;;400.000,00;10;CULTURA;02;MUSEOS Y COLECCIONES;221;BARAJAS
2023/000227;MUSEOS MUNICIPALES. ADQUISICIÓN DE MOBILIARIO Y ENSERES;001130;33301;63599;;25.000,00;10;CULTURA;02;MUSEOS Y COLECCIONES;998;VARIOS DISTRITOS
2023/000356;CASTILLO DE LA ALAMEDA DE OSUNA. RENOVACIÓN DE PANELES;001130;33301;63999;;18.000,00;10;CULTURA;02;MUSEOS Y COLECCIONES;221;BARAJAS
2023/000357;PLANETARIO DE MADRID. RENOVACIÓN MUSEOGRÁFICA;001130;33301;63999;;61.000,00;10;CULTURA;02;MUSEOS Y COLECCIONES;202;ARGANZUELA
2023/000358;PIEZAS DE PATRIMONIO CULTURAL DE LOS MUSEOS MUNICIPALES. RESTAURACIÓN;001130;33301;63900;;150.000,00;10;CULTURA;02;MUSEOS Y COLECCIONES;998;VARIOS DISTRITOS
2023/000359;ADQUISICIÓN DE FONDOS BIBLIOGRÁFICOS ESPECIALIZADOS PARA MUSEOS;001130;33301;62999;;14.000,00;10;CULTURA;02;MUSEOS Y COLECCIONES;998;VARIOS DISTRITOS
2023/000360;TEMPLO DE DEBOD. OTRO MOBILIARIO Y ENSERES;001130;33301;63599;;6.100,00;10;CULTURA;02;MUSEOS Y COLECCIONES;209;MONCLOA-ARAVACA
2023/000361;PLANETARIO DE MADRID. ADQUISICIÓN DE MOBILIARIO;001130;33301;62500;;5.000,00;10;CULTURA;02;MUSEOS Y COLECCIONES;202;ARGANZUELA
2023/000107;PLACAS CONMEMORATIVAS PLAN MEMORIA DE MADRID;001130;33401;60900;;15.000,00;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;998;VARIOS DISTRITOS
2023/000111;RESTAURACIÓN ELEMENTOS GIGANTES Y CABEZUDOS;001130;33401;63900;;20.000,00;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;998;VARIOS DISTRITOS
2022/000199;BANDA SINFÓNICA MUNICIPAL. ADQUISICIÓN MOBILIARIO OFICINAS Y ARCHIVO;001130;33405;62500;;6.000,00;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;998;VARIOS DISTRITOS
